Sample in Buffer,Sample in Window,TRIGGER,design_1_i/rf_ss/rf_data_system_ila/inst/probe0_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe1_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe2_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe3_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe4_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe5_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe6_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe7_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe8_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe9_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe10_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe11_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe12_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe13_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe14_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe15_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
0,0,0,3212,-3276,2028,20,-1940,3176,-3292,2124,-572,1,570,-923,924,-572,1,569
1,1,0,-72,-1948,3204,-3332,1996,-84,-1912,3252,569,-923,924,-572,1,570,-923,924
2,2,0,-3300,2028,28,-2044,3184,-3272,2008,20,924,-572,2,569,-923,924,-572,2
3,3,0,-2052,3228,-3284,2044,-100,-2012,3284,-3284,2,569,-923,924,-572,2,569,-923
4,4,0,2040,-60,-1924,3180,-3292,2060,-4,-1948,-923,925,-573,2,569,-923,925,-572
5,5,0,3192,-3300,2028,36,-1948,3268,-3300,2100,-572,3,569,-923,924,-573,3,569
6,6,0,-4,-1948,3284,-3356,1996,-76,-1920,3260,568,-923,924,-573,3,568,-922,923
7,7,0,-3288,2012,-80,-2020,3268,-3300,1984,-60,924,-573,2,569,-924,925,-574,3
8,8,0,-1952,3244,-3316,2052,-100,-2036,3196,-3348,1,571,-925,925,-573,1,571,-924
9,9,0,2036,-68,-2028,3180,-3296,2068,-20,-2032,-924,926,-573,2,570,-925,926,-573
10,10,0,3176,-3284,2060,-92,-1916,3196,-3308,2068,-573,2,570,-924,926,-573,2,570
11,11,0,-4,-1948,3212,-3292,2056,-108,-1912,3164,570,-924,926,-573,2,570,-924,926
12,12,0,-3304,2028,-56,-2044,3260,-3316,2048,-20,926,-574,3,570,-924,926,-574,2
13,13,0,-1984,3196,-3284,2020,60,-1956,3236,-3300,3,569,-924,926,-574,3,570,-924
14,14,0,2032,-60,-1908,3276,-3332,1964,-20,-2044,-924,926,-574,3,569,-924,926,-574
15,15,0,3176,-3300,1996,-84,-1940,3192,-3300,2036,-575,3,569,-924,926,-574,3,569
16,16,0,-40,-1948,3252,-3292,2056,-20,-1936,3236,569,-924,926,-575,4,569,-924,926
17,17,0,-3324,2060,-56,-2060,3208,-3324,2060,-84,926,-575,4,568,-924,926,-575,4
18,18,0,-2028,3228,-3300,1980,44,-1940,3196,-3348,4,568,-924,926,-575,4,568,-924
19,19,0,2048,-52,-1932,3260,-3300,1996,-84,-2084,-924,926,-575,5,568,-924,926,-575
20,20,0,3192,-3340,2092,-68,-2040,3252,-3316,2068,-576,5,568,-924,927,-576,5,568
21,21,0,-4,-1940,3252,-3324,2056,-60,-1928,3228,567,-923,927,-576,5,568,-923,927
22,22,0,-3324,2012,20,-1900,3200,-3296,2000,-92,927,-576,6,567,-923,927,-576,5
23,23,0,-1988,3204,-3316,1996,44,-2044,3220,-3276,6,567,-923,927,-576,6,567,-923
24,24,0,2056,-8,-2060,3236,-3280,2092,-12,-2016,-923,927,-577,6,567,-923,927,-576
25,25,0,3144,-3260,2052,-52,-2088,3276,-3316,2012,-577,6,566,-923,927,-577,6,567
26,26,0,-24,-1972,3252,-3364,1996,28,-1952,3252,566,-923,927,-577,7,566,-923,927
27,27,0,-3280,2012,44,-1924,3176,-3300,2016,68,927,-577,7,566,-923,927,-577,7
28,28,0,-1968,3180,-3292,2028,52,-2028,3180,-3300,7,566,-923,927,-578,7,566,-923
29,29,0,2028,-36,-2036,3252,-3276,2028,-36,-2032,-923,927,-578,8,566,-923,927,-578
30,30,0,3208,-3356,1980,12,-1948,3200,-3324,1988,-578,8,565,-923,927,-578,8,565
31,31,0,28,-2036,3212,-3284,1988,-36,-1960,3188,565,-922,928,-578,8,565,-923,927
32,32,0,-3308,2036,-24,-2028,3184,-3348,1984,-52,928,-579,9,565,-922,928,-578,8
33,33,0,-2016,3172,-3316,1996,-84,-1964,3244,-3284,9,565,-922,928,-579,9,565,-922
34,34,0,2012,8,-1916,3260,-3288,2060,20,-2044,-922,928,-579,9,564,-922,928,-579
35,35,0,3244,-3332,2004,52,-2040,3216,-3332,1988,-579,9,564,-922,928,-579,9,564
36,36,0,44,-1964,3244,-3308,1948,-100,-2060,3188,564,-922,928,-579,10,564,-922,928
37,37,0,-3304,2036,-72,-1956,3208,-3324,1984,60,928,-580,10,564,-922,928,-580,10
38,38,0,-2028,3260,-3276,1948,-4,-1932,3196,-3356,10,563,-922,928,-580,10,563,-922
39,39,0,2056,-60,-1948,3228,-3284,2044,-44,-1972,-922,928,-580,11,563,-922,928,-580
40,40,0,3220,-3332,2044,-52,-1948,3224,-3300,1980,-581,11,563,-922,928,-580,11,563
41,41,0,28,-1972,3244,-3292,1988,-84,-2060,3212,563,-922,928,-581,11,563,-922,928
42,42,0,-3336,1988,-64,-2068,3260,-3308,1992,44,929,-581,12,562,-921,928,-581,11
43,43,0,-2052,3188,-3300,2044,-92,-2060,3292,-3292,12,562,-921,929,-581,12,562,-921
44,44,0,2048,16,-2060,3228,-3252,2004,-92,-1956,-920,929,-581,12,562,-921,929,-581
45,45,0,3252,-3292,2060,-28,-2056,3236,-3292,2024,-582,12,562,-921,929,-582,12,561
46,46,0,0,-2044,3220,-3316,1956,-68,-2044,3260,561,-921,929,-582,13,561,-922,929
47,47,0,-3292,2012,8,-2060,3284,-3320,1992,-84,927,-582,13,561,-920,928,-582,13
48,48,0,-2068,3212,-3284,2060,-60,-1996,3268,-3284,14,560,-919,927,-581,13,560,-919
49,49,0,1996,16,-2028,3228,-3288,1972,4,-1940,-919,927,-582,14,559,-919,927,-581
50,50,0,3244,-3300,1956,52,-2040,3184,-3276,1996,-582,14,559,-919,927,-582,14,559
51,51,0,8,-1988,3268,-3324,1996,60,-1952,3180,559,-919,928,-582,14,559,-919,927
52,52,0,-3300,1964,-24,-1964,3300,-3236,2004,68,928,-582,15,559,-919,928,-582,14
53,53,0,-2008,3292,-3284,1996,-60,-2084,3228,-3284,15,558,-918,928,-583,15,558,-918
54,54,0,2012,-20,-1972,3252,-3256,2036,52,-2068,-918,928,-583,15,558,-918,928,-583
55,55,0,3192,-3284,2012,-20,-2004,3216,-3252,2076,-583,16,558,-918,928,-583,15,558
56,56,0,-56,-2076,3204,-3308,2048,28,-2020,3196,558,-918,928,-583,16,558,-918,928
57,57,0,-3304,1964,68,-2084,3252,-3236,1960,4,928,-584,16,557,-918,928,-583,16
58,58,0,-2052,3252,-3292,2036,-52,-1964,3292,-3284,17,557,-918,928,-584,16,557,-918
59,59,0,2048,-4,-2084,3212,-3268,2052,-36,-2024,-918,928,-584,17,557,-918,928,-584
60,60,0,3284,-3308,2060,84,-1956,3228,-3316,1956,-584,17,557,-918,928,-584,17,557
61,61,0,52,-1972,3252,-3300,2048,-36,-2092,3212,556,-918,928,-584,17,556,-918,928
62,62,0,-3336,1988,68,-1972,3232,-3292,1984,76,928,-585,18,556,-918,928,-585,17
63,63,0,-2020,3196,-3276,1956,60,-2004,3284,-3292,18,556,-917,929,-585,18,556,-917
64,64,0,2008,40,-2092,3204,-3256,1988,-36,-2060,-917,929,-585,18,556,-917,929,-585
65,65,0,3240,-3308,2036,68,-2080,3232,-3316,1988,-586,19,555,-917,929,-585,18,556
66,66,0,8,-2068,3228,-3316,1980,-36,-2084,3180,555,-917,929,-586,19,555,-917,929
67,67,0,-3268,2060,-16,-2092,3176,-3312,1960,100,929,-586,19,555,-917,929,-586,19
68,68,0,-2060,3300,-3292,2012,-68,-2084,3196,-3268,20,555,-917,929,-586,19,555,-917
69,69,0,2044,-12,-1956,3260,-3280,2020,-52,-2092,-917,929,-586,20,555,-917,929,-586
70,70,0,3192,-3276,1940,-52,-2136,3232,-3244,2008,-587,20,554,-917,929,-587,20,554
71,71,0,-8,-2044,3236,-3268,2064,-44,-2000,3236,554,-917,929,-587,20,554,-917,929
72,72,0,-3304,1980,52,-2108,3260,-3304,1956,52,929,-587,21,554,-917,929,-587,20
73,73,0,-1992,3212,-3308,2028,4,-2084,3268,-3260,21,553,-916,929,-587,21,554,-917
74,74,0,1984,64,-2076,3236,-3296,1988,-4,-2068,-916,930,-588,21,553,-916,929,-587
75,75,0,3200,-3300,1988,-36,-2144,3284,-3308,1916,-588,22,553,-916,930,-588,21,553
76,76,0,36,-2060,3252,-3292,1948,84,-1992,3188,553,-916,930,-588,22,553,-916,930
77,77,0,-3308,1980,-40,-1988,3216,-3316,2044,-28,930,-588,22,553,-916,930,-588,22
78,78,0,-2084,3244,-3284,1996,-4,-1996,3228,-3308,22,552,-916,930,-588,22,552,-916
79,79,0,1992,64,-1996,3228,-3252,1996,92,-1988,-916,930,-589,23,552,-916,930,-589
80,80,0,3236,-3300,1948,4,-2056,3192,-3308,2040,-589,23,552,-916,930,-589,23,552
81,81,0,52,-1996,3284,-3292,1980,68,-1976,3252,551,-916,930,-589,23,552,-916,930
82,82,0,-3308,2004,28,-2092,3284,-3264,1968,12,930,-590,24,551,-916,930,-589,23
83,83,0,-2040,3220,-3300,1964,76,-2084,3268,-3308,24,551,-915,930,-590,24,551,-916
84,84,0,1996,4,-1996,3236,-3288,2020,-12,-1988,-915,930,-590,24,551,-915,930,-590
85,85,0,3224,-3252,2036,12,-1980,3284,-3236,2060,-590,24,551,-915,930,-590,24,551
86,86,0,68,-2020,3268,-3276,1940,-44,-2092,3316,550,-915,931,-590,25,550,-915,930
87,87,0,-3336,1964,100,-2068,3200,-3264,1976,60,931,-591,25,550,-915,931,-591,25
88,88,0,-2032,3276,-3284,1916,-4,-2004,3276,-3284,25,551,-916,932,-591,25,551,-915
89,89,0,2008,4,-2084,3276,-3324,1948,52,-1980,-917,934,-592,25,551,-917,933,-591
90,90,0,3220,-3308,1956,-4,-2136,3276,-3276,1940,-592,26,551,-917,933,-592,26,551
91,91,0,0,-1988,3260,-3276,1992,-20,-1976,3172,550,-917,933,-593,26,550,-917,932
92,92,0,-3284,2004,-24,-2076,3200,-3324,2036,116,933,-593,26,550,-917,933,-593,26
93,93,0,-2032,3244,-3268,2012,-20,-2020,3260,-3268,27,550,-916,933,-593,27,550,-917
94,94,0,2008,4,-2044,3236,-3296,2012,84,-1956,-916,933,-593,27,550,-916,933,-593
95,95,0,3208,-3252,2028,68,-2096,3268,-3220,1964,-594,27,549,-916,933,-593,27,550
96,96,0,40,-2052,3292,-3244,2048,-12,-2068,3284,549,-916,933,-594,28,549,-916,933
97,97,0,-3268,1924,84,-2116,3252,-3272,1972,4,933,-594,28,549,-916,933,-594,28
98,98,0,-2056,3324,-3284,2036,12,-2052,3228,-3284,28,549,-916,933,-594,28,549,-916
99,99,0,1992,88,-2084,3244,-3252,1956,20,-1972,-916,933,-595,28,548,-916,933,-594
100,100,0,3252,-3260,2020,36,-2120,3200,-3276,1956,-595,29,548,-916,934,-595,29,548
101,101,0,40,-2012,3284,-3276,1992,92,-2108,3204,548,-916,934,-595,29,548,-916,934
102,102,0,-3320,1956,24,-1980,3240,-3268,1988,116,934,-595,29,548,-916,934,-595,29
103,103,0,-2060,3204,-3252,1972,116,-2100,3260,-3268,30,547,-915,934,-595,30,548,-915
104,104,0,1992,72,-1996,3260,-3264,1964,68,-2092,-915,935,-597,31,546,-915,934,-596
105,105,0,3240,-3268,2036,116,-2104,3252,-3308,1964,-598,32,545,-915,935,-598,32,546
106,106,0,68,-2068,3268,-3268,2016,108,-2084,3284,545,-915,935,-598,33,545,-915,935
107,107,0,-3360,1964,24,-2108,3284,-3236,1968,132,935,-598,33,545,-915,935,-598,33
108,108,0,-2068,3300,-3252,1980,-12,-2060,3220,-3252,33,545,-914,935,-598,33,545,-915
109,109,0,1972,120,-2020,3236,-3328,2052,76,-2100,-914,935,-599,33,544,-914,935,-598
110,110,0,3224,-3316,1988,116,-2112,3248,-3284,2016,-599,34,544,-914,935,-599,34,544
111,111,0,24,-2004,3236,-3276,2016,92,-2068,3220,544,-914,935,-599,34,544,-914,935
112,112,0,-3268,1964,132,-2084,3216,-3268,1980,140,935,-599,34,544,-914,935,-599,34
113,113,0,-2052,3260,-3276,1972,140,-2084,3276,-3268,35,543,-914,935,-599,35,544,-914
114,114,0,1992,28,-1996,3236,-3296,1988,36,-2100,-914,936,-600,35,543,-914,935,-599
115,115,0,3256,-3332,1956,108,-1980,3276,-3284,2000,-601,37,542,-914,936,-601,36,543
116,116,0,76,-2052,3188,-3284,1932,92,-2024,3212,540,-912,935,-601,38,541,-913,935
117,117,0,-3260,1924,108,-2116,3324,-3268,1944,124,934,-601,38,540,-911,935,-602,38
118,118,0,-2040,3284,-3268,1932,140,-2028,3268,-3236,38,539,-911,935,-601,38,539,-910
119,119,0,2024,104,-2076,3260,-3256,1980,100,-2004,-911,936,-602,39,539,-911,936,-601
120,120,0,3264,-3292,1988,12,-2012,3260,-3292,2016,-602,39,539,-911,935,-602,39,539
121,121,0,56,-2092,3268,-3268,1956,36,-2092,3276,539,-911,935,-602,39,539,-911,935
122,122,0,-3264,1916,48,-2100,3232,-3264,2004,36,935,-602,39,538,-911,935,-602,39
123,123,0,-2084,3228,-3332,2020,116,-2124,3228,-3276,40,538,-911,935,-602,40,538,-911
124,124,0,1956,112,-2092,3212,-3280,1940,28,-1988,-910,935,-603,40,538,-910,935,-603
125,125,0,3292,-3268,1988,36,-2028,3260,-3268,1924,-603,40,538,-910,935,-603,40,538
126,126,0,100,-2092,3236,-3292,1932,20,-2124,3244,537,-910,935,-603,41,537,-910,935
127,127,0,-3320,1964,116,-2132,3208,-3260,1956,44,935,-603,41,537,-910,935,-603,41
128,128,0,-2048,3204,-3236,1900,172,-2084,3236,-3260,41,537,-910,936,-604,41,537,-910
129,129,0,1984,136,-2092,3236,-3244,1980,44,-2124,-910,936,-604,42,537,-910,936,-604
130,130,0,3208,-3260,1996,4,-2028,3248,-3308,1924,-604,42,536,-910,936,-604,42,537
131,131,0,132,-2060,3252,-3260,1900,28,-1984,3300,536,-910,936,-604,42,536,-910,936
132,132,0,-3328,1964,116,-2060,3224,-3296,2004,44,936,-605,42,536,-910,936,-605,42
133,133,0,-2084,3284,-3244,1980,116,-2140,3244,-3244,43,536,-910,936,-605,43,536,-910
134,134,0,1960,12,-2036,3284,-3288,1924,76,-2092,-909,936,-605,43,535,-909,936,-605
135,135,0,3232,-3268,1916,116,-2128,3292,-3236,2016,-604,42,536,-910,936,-604,43,535
136,136,0,56,-2044,3220,-3364,1908,116,-2124,3228,536,-910,935,-604,42,537,-910,935
137,137,0,-3276,1956,116,-2140,3268,-3248,1896,12,935,-604,42,536,-910,935,-604,42
138,138,0,-2140,3212,-3276,1908,140,-2044,3236,-3300,42,536,-909,936,-604,42,536,-909
139,139,0,1964,20,-2076,3292,-3292,1956,44,-2156,-909,936,-605,43,536,-909,936,-604
140,140,0,3200,-3276,1924,52,-2176,3308,-3268,1984,-605,43,535,-909,936,-605,43,536
141,141,0,116,-2148,3292,-3276,1908,132,-2024,3268,535,-909,936,-605,43,535,-909,936
142,142,0,-3296,1924,116,-2132,3240,-3252,1956,164,936,-605,43,535,-909,936,-605,43
143,143,0,-2040,3204,-3292,1980,60,-2124,3284,-3292,42,535,-909,936,-605,43,535,-909
144,144,0,1916,60,-2100,3180,-3336,1932,116,-2140,-909,935,-604,42,536,-909,935,-604
145,145,0,3232,-3236,2020,124,-2044,3308,-3252,1932,-604,42,536,-909,935,-604,42,536
146,146,0,80,-2020,3300,-3276,1940,44,-1992,3292,535,-909,935,-604,43,536,-909,935
147,147,0,-3252,1932,80,-2156,3316,-3252,1904,76,936,-605,43,535,-909,935,-605,43
148,148,0,-2064,3268,-3308,1924,12,-2148,3284,-3292,43,535,-909,936,-605,43,535,-909
149,149,0,1968,28,-2036,3276,-3260,1908,36,-2004,-909,936,-605,44,535,-909,936,-605
150,150,0,3240,-3284,1964,148,-2160,3308,-3276,1952,-604,43,535,-909,935,-604,44,535
151,151,0,116,-2108,3260,-3228,2000,28,-2092,3220,536,-909,935,-604,42,536,-909,935
152,152,0,-3216,1940,80,-2132,3276,-3220,1980,92,935,-604,42,536,-909,935,-604,42
153,153,0,-2124,3220,-3236,1996,76,-2044,3252,-3244,43,535,-909,935,-604,43,535,-909
154,154,0,1900,76,-2116,3300,-3264,1988,148,-2036,-909,935,-605,43,535,-909,935,-605
155,155,0,3240,-3260,1916,84,-2120,3232,-3260,2032,-605,43,535,-909,935,-605,43,535
156,156,0,88,-2092,3268,-3236,1976,84,-2116,3252,534,-908,935,-605,44,535,-909,935
157,157,0,-3252,1964,132,-2156,3208,-3256,1972,92,935,-605,43,535,-909,935,-605,44
158,158,0,-2140,3292,-3260,1988,52,-2044,3324,-3228,42,536,-909,935,-604,42,536,-909
159,159,0,1960,44,-2060,3236,-3228,1964,60,-2156,-909,935,-604,43,535,-909,935,-604
160,160,0,3248,-3292,1900,108,-2084,3244,-3260,1924,-604,43,535,-909,935,-604,43,535
161,161,0,100,-2140,3244,-3268,1884,68,-2056,3228,535,-908,935,-605,43,535,-909,935
162,162,0,-3296,1948,156,-2052,3260,-3292,1912,76,935,-605,43,535,-908,935,-605,43
163,163,0,-2072,3244,-3252,1892,92,-2044,3212,-3260,44,534,-908,935,-605,44,534,-908
164,164,0,1948,76,-2116,3252,-3312,1892,108,-2020,-908,935,-605,44,534,-908,935,-605
165,165,0,3224,-3236,1964,76,-2168,3232,-3252,1968,-606,44,534,-908,935,-605,44,534
166,166,0,132,-2044,3236,-3276,1924,164,-2032,3228,533,-908,936,-606,45,534,-908,935
167,167,0,-3232,1900,80,-2132,3244,-3252,1904,76,936,-606,45,533,-908,936,-606,45
168,168,0,-2072,3284,-3252,1900,172,-2124,3292,-3260,45,533,-908,936,-606,45,533,-908
169,169,0,1924,124,-2036,3212,-3276,1900,116,-2012,-908,936,-606,45,533,-908,936,-606
170,170,0,3224,-3260,1908,68,-2120,3232,-3236,2016,-607,46,533,-908,936,-607,46,533
171,171,0,132,-2140,3284,-3228,1968,92,-2016,3292,532,-907,936,-607,46,532,-907,936
172,172,0,-3260,1940,88,-2108,3292,-3264,1912,108,936,-607,46,532,-907,936,-607,46
173,173,0,-2080,3252,-3220,1884,204,-2156,3316,-3276,47,532,-907,936,-607,47,532,-907
174,174,0,1944,92,-2068,3300,-3224,1972,188,-2132,-907,936,-608,47,532,-907,936,-607
175,175,0,3260,-3276,1900,172,-2144,3292,-3316,1900,-608,47,531,-907,936,-608,47,531
176,176,0,116,-2116,3220,-3236,1932,188,-2164,3284,531,-907,936,-608,48,531,-907,936
177,177,0,-3328,1924,56,-2020,3324,-3308,1980,204,936,-608,48,531,-907,936,-608,48
178,178,0,-2148,3220,-3228,1948,36,-2140,3292,-3252,48,531,-907,936,-608,48,531,-907
179,179,0,1892,168,-2044,3316,-3212,1908,76,-2148,-907,937,-609,48,530,-907,937,-609
180,180,0,3192,-3220,1860,100,-2168,3268,-3284,1892,-609,49,530,-906,937,-609,49,530
181,181,0,80,-2124,3260,-3244,1936,164,-2132,3300,530,-906,937,-609,49,530,-906,937
182,182,0,-3252,1932,80,-2148,3300,-3224,1940,156,938,-611,50,529,-906,937,-610,49
183,183,0,-2104,3308,-3204,1972,180,-2076,3324,-3244,52,528,-906,938,-611,52,528,-906
184,184,0,1916,116,-2028,3316,-3224,1932,100,-2044,-906,938,-612,52,528,-906,938,-611
185,185,0,3240,-3236,1876,196,-2144,3264,-3244,1928,-612,52,527,-905,938,-612,52,527
186,186,0,144,-2052,3260,-3268,1952,100,-2132,3260,527,-905,938,-612,52,527,-905,938
187,187,0,-3276,1940,88,-2084,3256,-3292,1880,172,938,-612,53,527,-905,938,-612,53
188,188,0,-2112,3292,-3292,1956,180,-2132,3332,-3236,55,526,-905,938,-613,54,526,-905
189,189,0,1892,108,-2132,3308,-3256,1972,76,-2068,-904,939,-614,55,525,-905,939,-614
190,190,0,3240,-3268,1956,68,-2160,3248,-3244,1992,-615,56,525,-904,939,-615,56,525
191,191,0,116,-2100,3284,-3252,1952,84,-2132,3236,524,-904,939,-615,56,524,-904,939
192,192,0,-3256,1932,112,-2188,3224,-3280,1864,156,939,-615,56,524,-904,939,-615,56
193,193,0,-2112,3212,-3276,1964,180,-2204,3284,-3276,59,522,-904,939,-616,58,523,-904
194,194,0,1884,144,-2172,3292,-3228,1892,156,-2020,-903,940,-617,59,522,-903,940,-617
195,195,0,3276,-3252,1884,116,-2144,3300,-3252,1944,-618,59,522,-903,940,-617,59,522
196,196,0,188,-2068,3300,-3284,1844,188,-2096,3292,521,-903,940,-618,59,522,-903,940
197,197,0,-3320,1868,64,-2100,3240,-3232,1856,76,940,-618,60,521,-903,940,-618,60
198,198,0,-2112,3260,-3260,1876,204,-2156,3284,-3260,60,521,-903,940,-618,60,521,-903
199,199,0,1900,176,-2180,3284,-3264,1900,116,-2188,-903,940,-618,60,521,-903,940,-618
200,200,0,3316,-3244,1852,180,-2044,3300,-3236,1908,-619,61,520,-903,940,-619,61,521
201,201,0,196,-2060,3324,-3244,1892,172,-2072,3284,519,-902,941,-620,62,520,-903,940
202,202,0,-3272,1844,188,-2084,3340,-3256,1872,100,941,-621,63,518,-902,941,-621,63
203,203,0,-2164,3300,-3220,1860,220,-2172,3300,-3260,64,518,-902,941,-621,63,518,-902
204,204,0,1900,116,-2220,3300,-3252,1948,68,-2036,-902,941,-621,64,518,-902,941,-621
205,205,0,3264,-3252,1868,108,-2060,3340,-3212,1976,-622,64,518,-902,941,-621,64,518
206,206,0,104,-2180,3324,-3276,1836,116,-2156,3300,517,-902,942,-622,64,517,-902,941
207,207,0,-3288,1940,80,-2164,3224,-3248,1964,92,942,-622,65,517,-902,942,-622,65
208,208,0,-2156,3292,-3236,1884,188,-2060,3316,-3212,65,517,-901,942,-622,65,517,-901
209,209,0,1896,208,-2060,3260,-3212,1924,108,-2188,-901,943,-622,65,517,-901,943,-622
210,210,0,3240,-3268,1900,212,-2144,3284,-3300,1952,-622,66,516,-901,942,-623,66,517
211,211,0,164,-2132,3316,-3252,1920,212,-2172,3308,516,-902,942,-623,66,516,-901,941
212,212,0,-3296,1868,212,-2124,3284,-3244,1880,204,943,-624,66,517,-902,943,-624,66
213,213,0,-2072,3308,-3260,1932,132,-2076,3252,-3244,67,517,-903,944,-624,66,517,-902
214,214,0,1952,200,-2084,3300,-3264,1884,188,-2196,-902,944,-625,67,517,-903,945,-625
215,215,0,3216,-3260,1940,180,-2200,3308,-3244,1868,-623,66,517,-903,944,-624,67,516
216,216,0,136,-2164,3260,-3260,1852,220,-2072,3292,518,-903,943,-623,65,518,-903,943
217,217,0,-3216,1860,128,-2148,3240,-3272,1916,196,943,-624,66,517,-903,943,-624,65
218,218,0,-2156,3348,-3268,1884,124,-2100,3284,-3276,66,517,-903,943,-624,66,517,-903
219,219,0,1880,200,-2132,3300,-3264,1860,124,-2060,-903,944,-624,66,517,-903,944,-624
220,220,0,3256,-3252,1940,124,-2084,3316,-3292,1860,-624,67,517,-903,944,-624,66,517
221,221,0,188,-2044,3276,-3268,1904,116,-2172,3300,516,-902,944,-625,67,517,-902,944
222,222,0,-3228,1916,236,-2076,3256,-3244,1912,124,944,-625,67,516,-902,944,-625,67
223,223,0,-2136,3324,-3172,1924,212,-2108,3268,-3212,66,517,-902,944,-624,66,516,-902
224,224,0,1944,192,-2100,3252,-3284,1916,204,-2068,-903,943,-624,66,517,-903,943,-623
225,225,0,3252,-3236,1908,108,-2060,3332,-3252,1884,-624,66,517,-903,943,-624,66,517
226,226,0,144,-2100,3284,-3228,1920,204,-2180,3236,517,-902,943,-624,66,517,-902,943
227,227,0,-3284,1860,128,-2092,3232,-3216,1932,220,943,-624,67,516,-902,943,-624,66
228,228,0,-2128,3292,-3260,1820,204,-2076,3316,-3228,67,516,-902,944,-624,67,516,-902
229,229,0,1852,140,-2132,3340,-3228,1948,204,-2108,-902,944,-625,67,516,-902,944,-625
230,230,0,3300,-3220,1964,124,-2060,3280,-3236,1876,-623,67,516,-902,943,-624,67,516
231,231,0,136,-2132,3316,-3228,1836,116,-2196,3324,517,-902,943,-623,66,517,-902,943
232,232,0,-3232,1900,228,-2100,3276,-3252,1872,132,943,-624,66,517,-902,943,-624,66
233,233,0,-2180,3260,-3228,1916,108,-2076,3228,-3244,67,516,-902,943,-624,66,517,-902
234,234,0,1928,132,-2108,3332,-3224,1876,204,-2108,-902,943,-624,67,516,-902,943,-624
235,235,0,3292,-3244,1908,252,-2176,3248,-3252,1836,-624,67,516,-902,943,-624,67,516
236,236,0,180,-2100,3284,-3228,1880,204,-2172,3316,516,-902,943,-625,67,516,-902,943
237,237,0,-3240,1868,144,-2124,3264,-3240,1824,212,943,-624,67,516,-902,943,-625,67
238,238,0,-2080,3316,-3268,1836,124,-2220,3324,-3252,66,517,-902,943,-623,66,517,-902
239,239,0,1928,156,-2172,3244,-3236,1908,140,-2180,-902,943,-624,66,517,-902,943,-624
240,240,0,3308,-3212,1932,140,-2224,3324,-3244,1952,-624,67,516,-902,943,-624,66,516
241,241,0,160,-2100,3276,-3260,1828,244,-2096,3292,516,-902,943,-624,67,516,-902,943
242,242,0,-3204,1900,220,-2124,3200,-3224,1916,140,943,-624,67,516,-902,943,-624,67
243,243,0,-2112,3308,-3260,1876,108,-2196,3316,-3244,67,515,-902,943,-625,67,516,-902
244,244,0,1912,240,-2156,3228,-3236,1884,244,-2084,-901,943,-625,68,515,-901,943,-625
245,245,0,3308,-3228,1924,268,-2108,3332,-3220,1836,-625,68,515,-901,943,-625,68,515
246,246,0,236,-2188,3348,-3220,1920,124,-2188,3292,515,-901,943,-625,68,515,-901,943
247,247,0,-3228,1844,276,-2212,3296,-3236,1932,260,944,-626,69,515,-901,943,-625,68
248,248,0,-2156,3228,-3220,1844,164,-2140,3292,-3212,69,514,-901,944,-626,69,514,-901
249,249,0,1884,240,-2068,3276,-3216,1948,164,-2076,-901,944,-626,69,514,-901,944,-626
250,250,0,3240,-3204,1852,140,-2116,3332,-3212,1844,-626,70,514,-901,944,-626,69,514
251,251,0,268,-2164,3364,-3268,1884,148,-2080,3308,513,-901,944,-626,70,514,-901,944
252,252,0,-3228,1900,160,-2188,3300,-3256,1916,164,944,-627,70,513,-901,944,-627,70
